FeH,EuFe,sigma_FeH,sigma_EuFe
-0.10,0.03,0.00,0.00
-0.27,0.25,0.00,0.00
-0.16,0.27,0.00,0.00
0.04,0.09,0.00,0.00
-0.05,0.08,0.00,0.00
-0.36,0.26,0.00,0.00
-0.60,0.13,0.00,0.00
0.16,-0.10,0.00,0.00
-0.22,0.15,0.00,0.00
-0.01,0.04,0.00,0.00
0.07,0.09,0.00,0.00
0.18,-0.15,0.00,0.00
0.04,0.12,0.00,0.00
-0.03,0.04,0.00,0.00
-0.17,0.13,0.00,0.00
0.17,0.14,0.00,0.00
-0.14,-0.03,0.00,0.00
0.23,-0.10,0.00,0.00
0.14,0.02,0.00,0.00
-0.04,0.07,0.00,0.00
0.18,-0.02,0.00,0.00
0.07,-0.04,0.00,0.00
-0.01,0.09,0.00,0.00
0.13,0.05,0.00,0.00
0.12,-0.03,0.00,0.00
-0.07,0.10,0.00,0.00
-0.33,0.16,0.00,0.00
-0.04,0.03,0.00,0.00
0.05,0.08,0.00,0.00
0.06,-0.05,0.00,0.00
0.09,-0.06,0.00,0.00
0.02,0.01,0.00,0.00
-0.25,0.21,0.00,0.00
0.14,-0.03,0.00,0.00
-0.12,0.05,0.00,0.00
-0.03,0.04,0.00,0.00
0.16,-0.05,0.00,0.00
0.12,0.01,0.00,0.00
0.05,-0.04,0.00,0.00
0.11,0.00,0.00,0.00
0.13,-0.07,0.00,0.00
-0.10,-0.07,0.00,0.00
-0.12,0.13,0.00,0.00
0.08,-0.05,0.00,0.00
0.06,0.02,0.00,0.00
-0.19,0.02,0.00,0.00
-0.17,0.20,0.00,0.00
0.06,-0.10,0.00,0.00
-0.85,0.33,0.00,0.00
-0.21,0.14,0.00,0.00
-0.03,0.09,0.00,0.00
0.05,-0.02,0.00,0.00
-0.66,0.29,0.00,0.00
0.01,-0.03,0.00,0.00
-0.08,0.09,0.00,0.00
-0.05,-0.04,0.00,0.00
0.15,-0.02,0.00,0.00
-0.53,0.36,0.00,0.00
-0.46,0.27,0.00,0.00
0.07,0.01,0.00,0.00
-0.55,0.21,0.00,0.00
-0.17,0.08,0.00,0.00
0.14,-0.06,0.00,0.00
0.03,-0.02,0.00,0.00
-0.43,0.26,0.00,0.00
0.25,-0.04,0.00,0.00
0.05,-0.12,0.00,0.00
-0.09,0.05,0.00,0.00
0.04,0.12,0.00,0.00
-0.03,0.09,0.00,0.00
0.16,-0.10,0.00,0.00
-0.15,0.23,0.00,0.00
-0.06,0.07,0.00,0.00
-0.09,0.10,0.00,0.00
0.09,-0.03,0.00,0.00
0.08,0.03,0.00,0.00
-0.17,0.20,0.00,0.00
-0.36,0.24,0.00,0.00
0.04,0.09,0.00,0.00
-0.08,0.06,0.00,0.00
-0.46,0.17,0.00,0.00
-0.13,0.09,0.00,0.00
-0.84,0.34,0.00,0.00
0.01,0.05,0.00,0.00
0.05,0.01,0.00,0.00
-0.16,0.22,0.00,0.00
0.23,-0.14,0.00,0.00
-0.09,0.12,0.00,0.00
0.00,0.03,0.00,0.00
0.14,-0.11,0.00,0.00
-0.05,0.06,0.00,0.00
0.18,0.01,0.00,0.00
0.13,0.05,0.00,0.00
-0.24,0.17,0.00,0.00
0.15,-0.09,0.00,0.00
-0.41,0.27,0.00,0.00
0.09,-0.03,0.00,0.00
0.01,0.02,0.00,0.00
-0.23,0.14,0.00,0.00
-0.03,-0.04,0.00,0.00
-0.22,-0.05,0.00,0.00
-0.18,0.21,0.00,0.00
-0.04,-0.08,0.00,0.00
-0.07,0.08,0.00,0.00
-0.03,0.04,0.00,0.00
-0.18,0.11,0.00,0.00
-0.11,0.14,0.00,0.00
-0.19,0.17,0.00,0.00
-0.24,0.19,0.00,0.00
-0.02,-0.05,0.00,0.00
-0.21,0.12,0.00,0.00
-0.24,0.07,0.00,0.00
-0.05,0.09,0.00,0.00
0.05,-0.09,0.00,0.00
-0.10,0.21,0.00,0.00
-0.37,0.25,0.00,0.00
0.00,0.01,0.00,0.00
-0.17,0.00,0.00,0.00
-0.21,0.07,0.00,0.00
-0.22,0.18,0.00,0.00
0.06,0.02,0.00,0.00
-0.31,0.19,0.00,0.00
-0.31,0.19,0.00,0.00
-0.04,0.01,0.00,0.00
-0.12,0.12,0.00,0.00
-0.10,-0.07,0.00,0.00
-0.06,0.02,0.00,0.00
-0.91,0.39,0.00,0.00
-0.33,0.31,0.00,0.00
-0.67,0.40,0.00,0.00
0.05,-0.12,0.00,0.00
-0.53,0.31,0.00,0.00
0.08,-0.04,0.00,0.00
-0.24,0.07,0.00,0.00
0.06,-0.13,0.00,0.00
0.00,-0.07,0.00,0.00
0.01,0.04,0.00,0.00
-0.07,0.00,0.00,0.00
0.08,-0.05,0.00,0.00
-0.58,0.29,0.00,0.00
0.25,-0.12,0.00,0.00
-0.10,0.06,0.00,0.00
0.05,-0.07,0.00,0.00
-0.22,0.03,0.00,0.00
-0.05,0.06,0.00,0.00
-0.28,0.16,0.00,0.00
-0.11,-0.06,0.00,0.00
-0.03,0.11,0.00,0.00
0.25,-0.09,0.00,0.00
0.12,-0.14,0.00,0.00
0.22,-0.11,0.00,0.00
0.00,0.01,0.00,0.00
0.00,0.14,0.00,0.00
-0.12,0.15,0.00,0.00
-0.23,0.19,0.00,0.00
0.05,-0.04,0.00,0.00
0.06,-0.02,0.00,0.00
-0.32,0.18,0.00,0.00
0.22,-0.11,0.00,0.00
-2.10,0.28,0.00,0.00
-0.31,0.17,0.00,0.00
-0.15,-0.03,0.00,0.00
-0.46,0.08,0.00,0.00
-0.18,-0.04,0.00,0.00
-0.36,0.03,0.00,0.00
-2.11,0.39,0.00,0.00
-0.25,0.06,0.00,0.00
-0.46,0.08,0.00,0.00
-0.39,0.05,0.00,0.00
-0.38,-0.07,0.00,0.00
-0.42,0.14,0.00,0.00
-0.44,0.22,0.00,0.00
-0.39,0.13,0.00,0.00
-0.35,0.23,0.00,0.00
-0.32,0.13,0.00,0.00
-0.23,-0.07,0.00,0.00
-0.62,0.16,0.00,0.00
-0.42,0.05,0.00,0.00
-0.49,0.06,0.00,0.00
-0.37,0.18,0.00,0.00
-0.42,-0.04,0.00,0.00
-0.17,-0.02,0.00,0.00
-0.11,0.00,0.00,0.00
-0.01,-0.04,0.00,0.00
-0.14,0.04,0.00,0.00
-0.12,0.01,0.00,0.00
-0.59,0.10,0.00,0.00
-0.58,0.13,0.00,0.00
-0.30,0.23,0.00,0.00
-1.03,0.25,0.00,0.00
-0.63,0.28,0.00,0.00
-0.23,0.03,0.00,0.00
-0.54,0.23,0.00,0.00
-0.24,0.23,0.00,0.00
-0.52,-0.10,0.00,0.00
